"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"6161";"1";"22";"8047";"2017-1";"2017 Gasolina"
"6162";"1";"22";"8048";"2017-1";"2017 Gasolina"
"6163";"1";"22";"788";"2004-1";"2004 Gasolina"
"6164";"1";"22";"788";"2003-1";"2003 Gasolina"
"6165";"1";"22";"788";"2002-1";"2002 Gasolina"
"6166";"1";"136";"4395";"2009-1";"2009 Gasolina"
"6167";"1";"136";"4395";"2008-1";"2008 Gasolina"
"6168";"1";"136";"4395";"2007-1";"2007 Gasolina"
"6169";"1";"136";"4395";"2006-1";"2006 Gasolina"
"6170";"1";"136";"4395";"2005-1";"2005 Gasolina"
"6171";"1";"22";"789";"2004-1";"2004 Gasolina"
"6172";"1";"22";"789";"2003-1";"2003 Gasolina"
"6173";"1";"22";"789";"2002-1";"2002 Gasolina"
"6174";"1";"22";"6524";"2015-1";"2015 Gasolina"
"6175";"1";"22";"6524";"2014-1";"2014 Gasolina"
"6176";"1";"136";"4396";"2009-1";"2009 Gasolina"
"6177";"1";"136";"4396";"2008-1";"2008 Gasolina"
"6178";"1";"136";"4396";"2007-1";"2007 Gasolina"
"6179";"1";"136";"4396";"2006-1";"2006 Gasolina"
"6180";"1";"136";"4396";"2005-1";"2005 Gasolina"
"6181";"1";"22";"8009";"2017-1";"2017 Gasolina"
"6182";"1";"22";"7659";"2019-1";"2019 Gasolina"
"6183";"1";"22";"7659";"2018-1";"2018 Gasolina"
"6184";"1";"22";"7659";"2017-1";"2017 Gasolina"
"6185";"1";"182";"5872";"2012-1";"2012 Gasolina"
"6186";"1";"22";"7660";"2019-1";"2019 Gasolina"
"6187";"1";"22";"7660";"2018-1";"2018 Gasolina"
"6188";"1";"22";"7660";"2017-1";"2017 Gasolina"
"6189";"1";"182";"5873";"2012-1";"2012 Gasolina"
"6190";"1";"182";"5873";"2011-1";"2011 Gasolina"
"6191";"1";"182";"5874";"2012-1";"2012 Gasolina"
"6192";"1";"182";"5874";"2011-1";"2011 Gasolina"
"6193";"1";"22";"8177";"2019-1";"2019 Gasolina"
"6194";"1";"22";"8177";"2018-1";"2018 Gasolina"
"6195";"1";"182";"5875";"2012-1";"2012 Gasolina"
"6196";"1";"22";"7754";"2017-1";"2017 Gasolina"
"6197";"1";"182";"5876";"2012-1";"2012 Gasolina"
"6198";"1";"22";"790";"2000-1";"2000 Gasolina"
"6199";"1";"182";"5877";"2012-1";"2012 Gasolina"
"6200";"1";"22";"7184";"2016-1";"2016 Gasolina"
"6201";"1";"22";"7184";"2015-1";"2015 Gasolina"
"6202";"1";"22";"791";"2000-1";"2000 Gasolina"
"6203";"1";"12";"4528";"2009-1";"2009 Gasolina"
"6204";"1";"12";"4528";"2008-1";"2008 Gasolina"
"6205";"1";"12";"4528";"2007-1";"2007 Gasolina"
"6206";"1";"22";"792";"2003-1";"2003 Gasolina"
"6207";"1";"22";"792";"2002-1";"2002 Gasolina"
"6208";"1";"22";"792";"2001-1";"2001 Gasolina"
"6209";"1";"12";"5878";"2016-1";"2016 Gasolina"
"6210";"1";"12";"5878";"2015-1";"2015 Gasolina"
"6211";"1";"12";"5878";"2014-1";"2014 Gasolina"
"6212";"1";"12";"5878";"2012-1";"2012 Gasolina"
